lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,70,90,34.7,27.41,0.8413550853729248
0.1,70,100,29.0,37.48,1.0227251052856445
0.1,70,110,19.3,30.02,1.1684510707855225
0.1,70,120,26.4,36.68,1.3455390930175781
0.1,70,130,20.3,50.01,1.5542099475860596
0.1,70,140,41.3,63.28,1.846276044845581
0.1,70,150,45.8,71.93,2.1800758838653564
0.1,70,160,32.2,87.35,2.567073106765747
0.1,70,170,25.5,86.85,2.912627935409546
0.1,70,180,30.0,145.65,3.4514758586883545
0.1,70,190,47.8,147.09,4.029477119445801
0.1,70,200,37.4,125.33,4.528174161911011
0.1,70,210,34.4,170.76,5.1565868854522705
0.1,70,220,55.0,163.31,5.8105998039245605
0.1,70,230,52.7,175.24,6.493376970291138
0.1,70,240,66.2,193.71,7.272094011306763
0.1,70,250,62.3,225.68,8.137367963790894
0.1,70,260,57.2,251.03,9.0761878490448
0.1,70,270,95.2,249.23,10.070793867111206
0.1,70,280,50.0,275.76,11.130583047866821
0.1,70,290,94.6,360.45,12.525870084762573
0.1,70,300,77.6,335.05,13.781106948852539
0.1,70,310,62.4,368.86,15.104358911514282
0.1,70,320,67.1,372.46,16.475757122039795
0.1,70,330,69.2,385.51,17.874043941497803
0.1,70,340,88.7,393.08,19.336432933807373
0.1,70,350,81.2,402.13,20.85317087173462
0.1,70,360,106.2,405.58,22.386868000030518
0.1,70,370,75.9,409.29,23.857338190078735
0.1,70,380,120.1,396.76,25.418220043182373
0.1,70,390,132.0,411.05,27.025845050811768
0.1,70,400,159.6,421.93,28.768025159835815
0.1,70,410,112.8,427.91,30.394412994384766
0.1,70,420,165.3,443.92,32.19745206832886
0.1,70,430,161.8,436.54,33.95875000953674
0.1,70,440,161.7,449.7,35.793789863586426
0.1,70,450,150.4,444.8,37.599343061447144
0.1,70,460,215.3,454.9,39.51718497276306
0.1,70,470,152.5,447.49,41.31303811073303
0.1,70,480,194.6,451.85,43.17657017707825
0.1,70,490,175.6,476.62,45.13638496398926
0.1,80,10,22.3,33.95,0.16600704193115234
0.1,80,20,23.0,40.61,0.35093092918395996
0.1,80,30,30.5,45.09,0.5632469654083252
0.1,80,40,27.6,55.63,0.8013019561767578
0.1,80,50,24.9,78.84,1.1163320541381836
0.1,80,60,26.4,87.35,1.4547219276428223
0.1,80,70,21.1,143.26,1.9686298370361328
0.1,80,80,33.4,85.45,2.322856903076172
0.1,80,90,36.8,137.19,2.84266996383667
0.1,80,100,36.6,148.67,3.4023730754852295
0.1,80,110,37.9,212.28,4.170078992843628
0.1,80,120,53.4,214.28,4.968467950820923
0.1,80,130,50.3,203.77,5.729897975921631
0.1,80,140,45.1,176.03,6.402930974960327
0.1,80,150,39.4,170.09,7.043517827987671
0.1,80,160,44.1,189.24,7.755959987640381
0.1,80,170,55.7,186.24,8.510317087173462
0.1,80,180,43.7,245.33,9.415316820144653
0.1,80,190,55.4,344.96,10.660518169403076
0.1,80,200,58.9,475.69,12.34129810333252
0.1,90,10,22.6,12.38,0.0914311408996582
0.1,90,20,21.9,12.8,0.18187689781188965
0.1,90,30,19.2,13.49,0.26803088188171387
0.1,90,40,29.2,14.72,0.37725400924682617
0.1,90,50,23.1,14.95,0.4756431579589844
0.1,90,60,27.2,15.08,0.5838618278503418
0.1,90,70,23.7,17.75,0.6938719749450684
0.1,90,80,24.0,19.33,0.8088197708129883
0.1,90,90,25.0,21.8,0.9324550628662109
0.1,90,100,27.5,27.82,1.0812819004058838
0.1,90,110,31.3,35.14,1.2606618404388428
0.1,90,120,34.5,54.49,1.514901876449585
0.1,90,130,34.7,66.11,1.8001940250396729
0.1,90,140,40.1,85.85,2.17079496383667
0.1,90,150,42.0,105.43,2.598407030105591
0.1,90,160,50.1,133.84,3.149258852005005
0.1,90,170,26.9,134.14,3.6395671367645264
0.1,90,180,50.7,167.47,4.316051959991455
0.1,90,190,68.0,201.5,5.153090000152588
0.1,90,200,45.9,235.1,6.033231973648071
0.1,90,210,40.4,251.66,6.932965040206909
0.1,90,220,81.3,283.89,8.04140591621399
0.1,90,230,52.4,340.65,9.302358865737915
0.1,90,240,74.2,347.56,10.609369993209839
0.1,90,250,76.8,370.0,12.005721092224121
0.1,90,260,67.3,364.35,13.322280168533325
0.1,90,270,88.5,365.38,14.730161190032959
0.1,90,280,113.3,373.96,16.16618299484253
0.1,90,290,106.4,399.1,17.715762853622437
0.1,90,300,109.1,420.53,19.307738065719604
0.1,90,310,81.4,407.26,20.786670923233032
0.1,90,320,103.7,415.46,22.37760615348816
0.1,90,330,126.2,411.63,24.028630018234253
0.1,90,340,103.7,415.78,25.615506887435913
0.1,90,350,101.7,416.9,27.183693885803223
0.1,90,360,141.0,427.14,28.864804983139038
0.1,90,370,136.3,414.25,30.51076602935791
0.1,90,380,154.3,419.63,32.215616941452026
0.1,90,390,132.9,434.7,33.94945979118347
0.1,90,400,152.7,438.57,35.69425702095032
0.1,90,410,146.3,436.92,37.44079899787903
0.1,90,420,172.4,437.16,39.24209499359131
0.1,90,430,160.8,435.55,40.9983389377594
0.1,90,440,152.2,439.09,42.76827001571655
0.1,90,450,114.2,431.87,44.425463914871216
0.1,90,460,147.3,428.92,46.12435507774353
0.1,90,470,197.0,431.09,47.94809103012085
0.1,90,480,253.5,438.02,49.889156103134155
0.1,90,490,145.2,447.29,51.672110080718994
0.1,90,500,217.0,453.93,53.6299569606781
0.1,100,10,11.8,9.33,0.06780219078063965
0.1,100,20,14.9,9.33,0.13152003288269043
0.1,100,30,12.8,9.33,0.19136404991149902
0.1,100,40,12.3,9.33,0.24982595443725586
0.1,100,50,13.3,9.33,0.31015896797180176
0.1,100,60,17.7,9.33,0.3790278434753418
0.1,100,70,13.6,9.33,0.44024085998535156
0.1,100,80,13.5,9.33,0.501488208770752
0.1,100,90,13.6,9.33,0.5639770030975342
0.1,100,100,18.2,9.33,0.635012149810791
0.1,100,110,14.1,9.33,0.6967318058013916
0.1,100,120,13.5,9.33,0.7575271129608154
0.1,100,130,17.1,9.33,0.8250648975372314
0.1,100,140,11.2,9.33,0.8807520866394043
0.1,100,150,11.4,9.33,0.9381108283996582
0.1,100,160,12.5,9.33,0.9965369701385498
0.1,100,170,14.1,9.33,1.0587430000305176
0.1,100,180,13.1,9.33,1.1184508800506592
0.1,100,190,12.7,9.33,1.178011178970337
0.1,100,200,13.5,9.33,1.239123821258545
0.1,100,210,13.8,9.33,1.3001971244812012
0.1,100,220,14.0,9.33,1.3623778820037842
0.1,100,230,13.1,9.33,1.4224708080291748
0.1,100,240,14.2,9.33,1.4843471050262451
0.1,100,250,16.0,9.33,1.549807071685791
0.1,100,260,14.9,9.33,1.6125969886779785
0.1,100,270,13.7,9.33,1.6731009483337402
0.1,100,280,16.4,9.38,1.739558219909668
0.1,100,290,15.9,9.77,1.807035207748413
0.1,100,300,13.3,9.75,1.8690860271453857
0.1,100,310,14.6,10.9,1.9368329048156738
0.1,100,320,16.8,10.45,2.0078530311584473
0.1,100,330,18.1,13.58,2.0922470092773438
0.1,100,340,16.6,13.37,2.171583890914917
0.1,100,350,17.2,14.33,2.2547459602355957
0.1,100,360,15.6,16.14,2.3426198959350586
0.1,100,370,17.6,16.8,2.436974048614502
0.1,100,380,15.9,17.5,2.532212018966675
0.1,100,390,17.2,18.95,2.6340339183807373
0.1,100,400,16.6,19.51,2.7360520362854004
0.1,100,410,17.6,21.04,2.842749834060669
